"URL"	"Keywords"	"Keyword Count"	"DateTime"	"Favorite Count"	"Retweet"	"Lang"	"LinkCount"	"Link1"	"Link2"	"Link3"	"Author"	"Text"	"Followers"	"Friends"	"Location"	"Timezone"	"UTC Offset"
"http://twitter.com/154029691/status/716437693949808640"	""	"0"	"Sun Apr 03 01:30:31 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/YLxxm22jEC"	""	""	"verifiedmom"	"Determination #WordADayChallenge Determination #WordADayChallenge Determination, you are never around long e https://t.co/YLxxm22jEC"	"4318"	"2790"	"Chicago, IL"	"Central Time (US & Canada)"	"-18000"
"http://twitter.com/129344110/status/716437798811774976"	""	"0"	"Sun Apr 03 01:30:56 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/LpkwtfqUo2"	""	""	"EarthAlumni"	"actually listening to them right now. ridiculously talented. each one gave the group exactly what was needed to be🙌🏼 https://t.co/LpkwtfqUo2"	"1558"	"2009"	"Hollywood Waiting Room"	"Quito"	"-18000"
"http://twitter.com/4904986736/status/716437823956455424"	""	"0"	"Sun Apr 03 01:31:02 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"lolxtaylor"	"Three hundred forty three  #TaylorSwiftBlankSpace #MemeableMoment #iHeartAwards"	"1"	"6"	""	""	""
"http://twitter.com/155985479/status/716437727495868416"	""	"0"	"Sun Apr 03 01:30:39 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"RoyaltyFamMusic"	"RT @kanyewest: Man that'd be so Kanye"	"32454"	"31520"	"international "	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/3219812958/status/716437672978358272"	""	"0"	"Sun Apr 03 01:30:26 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/9kbKOrzSXa"	""	""	"Laura_bulock"	"RT @reIatabIe: when your friends are too turnt and you gotta look after them https://t.co/9kbKOrzSXa"	"92"	"113"	"Dumas, MS"	""	""
"http://twitter.com/1581754723/status/716437744260481025"	""	"0"	"Sun Apr 03 01:30:43 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"Max_e_Carty"	"RT @_ughgrace: @Max_e_Carty finally saw deadpool. a month later."	"40"	"103"	""	""	""
"http://twitter.com/48977517/status/716437710706241536"	""	"0"	"Sun Apr 03 01:30:35 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/yGMWZEuDoq"	""	""	"aBramhasmi"	"RT @PIB_India: PM @narendramodi interacting with the workers at the L&amp;T residential complex in Riyadh https://t.co/yGMWZEuDoq"	"80"	"162"	""	"Solomon Is."	"36000"
"http://twitter.com/920277535/status/716437719094657024"	""	"0"	"Sun Apr 03 01:30:37 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"dmatkins137"	"RT @DavidOAtkins: Those who say Sanders is a privileged "one issue revolution" are going to have egg on their face when the housing bubble…"	"728"	"563"	"Victoria, British Columbia"	""	""
"http://twitter.com/1402468944/status/716437790398013440"	""	"0"	"Sun Apr 03 01:30:54 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"sadie_goodwin13"	"when Samantha always shares ur song suggestions with other people and acts like she found them!!! #WYD!!!"	"459"	"323"	"Brookfield"	""	""
"http://twitter.com/553027061/status/716437710722961408"	""	"0"	"Sun Apr 03 01:30:35 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gu4nl8jGGq"	""	""	"sorryimhaileyy"	"RT @Luke5SOS: When the tour is still 2 days away but you're ready now https://t.co/gu4nl8jGGq"	"1176"	"2052"	"New York, USA"	""	""
"http://twitter.com/4810085317/status/716437853312409600"	""	"0"	"Sun Apr 03 01:31:09 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/tLjZ56DFtS"	""	""	"CristelJc"	"RT @InfiniteUpdates: [TRANS] 160402 #인피니트 Dongwoo replied to fans (7) - END- ~.~ https://t.co/tLjZ56DFtS"	"63"	"73"	""	""	""
"http://twitter.com/1580569940/status/716437714929860610"	""	"0"	"Sun Apr 03 01:30:36 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"vshanea"	"RT @sca__0: love when the plug hits me up asking if I need any 😻👏🏽 #loyal"	"585"	"406"	"Fort Lauderdale, FL"	""	""
"http://twitter.com/634721304/status/716437807204438016"	""	"0"	"Sun Apr 03 01:30:58 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"ambaabe"	"RT @23AndyCastillo: Trust me this new snapchat got me watching ya shit on accident. Idc about you."	"706"	"432"	""	"Arizona"	"-25200"
"http://twitter.com/700872900518084609/status/716437782030336000"	""	"0"	"Sun Apr 03 01:30:52 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"DvaengerMouse"	"@BigPhraser47 loooool the fanny pack tho"	"70"	"265"	"North a bit, no, left left ..."	""	""
"http://twitter.com/227960353/status/716437874292367362"	""	"0"	"Sun Apr 03 01:31:14 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/0OpnW2p5yx"	""	""	"AfiqahMardhiah"	"RT @feardaooz: Starting my day right with this delicious sandwich. Have a good Sunday, everyone. https://t.co/0OpnW2p5yx"	"305"	"263"	""	"London"	"3600"
"http://twitter.com/1187859979/status/716437639407276034"	""	"0"	"Sun Apr 03 01:30:18 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"cdog20tv"	"Short stream tonight unfortunately, on me and Alex today and no one else, so it'll be for like an hour. We're just going on Minecraft."	"57"	"227"	"The United States of 'Murica"	""	""
"http://twitter.com/2286808651/status/716437828175986688"	""	"0"	"Sun Apr 03 01:31:03 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/ZQ4nm9hF47"	""	""	"harryJeweIs"	"RT @Dory: THIS IS SADDER THAN PAPAW https://t.co/ZQ4nm9hF47"	"1266"	"1055"	"keylen,seb,loxis,galax."	""	""
"http://twitter.com/4513227027/status/716437672957333504"	""	"0"	"Sun Apr 03 01:30:26 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/8xS2eMft6f"	""	""	"PLinotype"	"Who would win? https://t.co/8xS2eMft6f"	"47"	"21"	""	""	""
"http://twitter.com/1559215662/status/716437643609972736"	""	"0"	"Sun Apr 03 01:30:19 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/Qhp9RKo7Go"	""	""	"oxnattttt"	"RT @ItsFunnyJokers: Lmao I would hate to have friends like these 😂 https://t.co/Qhp9RKo7Go"	"345"	"312"	""	"Arizona"	"-25200"
"http://twitter.com/96394869/status/716437886887927810"	""	"0"	"Sun Apr 03 01:31:17 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/H6nPmt18Wj"	""	""	"MrCardasso"	"RT @chicagobulls: With that assist, Jimmy Butler has his first career triple-double. Feels good doesn't it? https://t.co/H6nPmt18Wj"	"172"	"248"	""	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/31366780/status/716437815568019457"	""	"0"	"Sun Apr 03 01:31:00 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/5Non7qjHi4"	""	""	"JotyKay"	"TYPES OF FOLLOWERS ON INSTAGRAM!!!: https://t.co/5Non7qjHi4 via @YouTube"	"2330"	"114"	"California "	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/716435995399483393/status/716437689738858497"	""	"0"	"Sun Apr 03 01:30:30 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"solaslibrau3"	"RT @AlexAngelo: New music coming soon #rdsaturdaynightparty"	"0"	"9"	""	""	""
"http://twitter.com/1966033099/status/716437815572111369"	""	"0"	"Sun Apr 03 01:31:00 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/HantpeDnUF"	""	""	"SalomonIris"	"RT @OTCReporter: $GPDB @GPDB MAMs new Health Merchant store, to be named Shop Against Monsanto @rudraprtpsngh https://t.co/HantpeDnUF"	"708"	"92"	"Aurora, CO"	"Pacific Time (US & Canada)"	"-25200"
"http://twitter.com/703040649373753345/status/716437874304901120"	""	"0"	"Sun Apr 03 01:31:14 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/mgBBIH7hv4"	""	""	"225reminisce"	"YNW$ Juice x Goin Stupid https://t.co/mgBBIH7hv4"	"264"	"44"	"Baton Rouge, LA"	""	""
"http://twitter.com/4777985459/status/716437769434738692"	""	"0"	"Sun Apr 03 01:30:49 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"prettiyanaa"	"I love kerine dress . and of course Lovelyne slayed her makeup 😭💓💓💓💓"	"422"	"482"	""	""	""
"http://twitter.com/2817944732/status/716437777823449088"	""	"0"	"Sun Apr 03 01:30:51 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/aSddjbOLoH"	""	""	"darksidedeb"	"Happy birthday @ashmensch!!! 😘🎂🎈 https://t.co/aSddjbOLoH"	"9712"	"2404"	"Canada's Ocean Playground"	"America/Halifax"	"-10800"
"http://twitter.com/716318849608523777/status/716437710718676992"	""	"0"	"Sun Apr 03 01:30:35 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/hquqKeWhOh"	""	""	"laurinah_tf"	"RT @5HVoteStats: HARMONIZERS ATTACK NOW!  ROMEOPLAY5H   #Harmonizers #iHeartAwards #BestFanArmy https://t.co/hquqKeWhOh"	"2"	"10"	""	""	""
"http://twitter.com/17828887/status/716437698131705856"	""	"0"	"Sun Apr 03 01:30:32 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/YH0UvC7A80"	""	""	"joyjunction"	"Family Assistance - Homeless Shelter Albuquerque - Family Assistance | Joy Junction- All families need help someti https://t.co/YH0UvC7A80"	"7282"	"4853"	"Albuquerque, N.M."	"Mountain Time (US & Canada)"	"-21600"
"http://twitter.com/563860298/status/716437823948267520"	""	"0"	"Sun Apr 03 01:31:02 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/rPwOS7ECAg"	""	""	"gemsbyjoy"	"Antique Art Deco Faux Amber Decorative Hair Comb / by JoysShop https://t.co/rPwOS7ECAg via @Etsy #vintage #hairaccessories #teamlove #voguet"	"7098"	"1164"	"Troy, IL"	"Hawaii"	"-36000"
"http://twitter.com/1591210662/status/716437815588851712"	""	"0"	"Sun Apr 03 01:31:00 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"__castaway_"	"RT @5SOS: #iHeartAwards #BestFanArmy #5SOSFAM never Quit. Xx"	"655"	"616"	"halp im lost"	"Arizona"	"-25200"
"http://twitter.com/844165476/status/716437865912094720"	""	"0"	"Sun Apr 03 01:31:12 +0000 2016"	"0"	"0"	"en"	"3"	"https://t.co/67fJO7tpI6"	"https://t.co/E3g4Mermyh"	"https://t.co/7vSdYm335j"	"serialdaily"	"#DailySerial Tamanna - Visit https://t.co/67fJO7tpI6 for full episodes https://t.co/E3g4Mermyh #AsianetSerial https://t.co/7vSdYm335j"	"235"	"140"	""	"Baghdad"	"10800"
"http://twitter.com/4760510062/status/716437719111573509"	""	"0"	"Sun Apr 03 01:30:37 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"MorganRizzoli"	"@_Jane_Rizzoli_ "No.. Can we just go back inside?""	"17"	"8"	"Boston, MA"	""	""
"http://twitter.com/239180427/status/716437899479089152"	""	"0"	"Sun Apr 03 01:31:20 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"Gr8WHThype23"	"@LionyRod fucking google?  is that some weird ass porn site dude?!    I'm reporting you to the twitter."	"340"	"398"	"Indy "	"Eastern Time (US & Canada)"	"-14400"
"http://twitter.com/2627100976/status/716437844940566528"	""	"0"	"Sun Apr 03 01:31:07 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/gu4nl8jGGq"	""	""	"5SOSMUKE__"	"RT @Luke5SOS: When the tour is still 2 days away but you're ready now https://t.co/gu4nl8jGGq"	"1037"	"1031"	""	""	""
"http://twitter.com/2266556515/status/716437790410473472"	""	"0"	"Sun Apr 03 01:30:54 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/pmLBEjbezb"	""	""	"Yolie_Rios"	"RT @MERRYMAJESTY: Stop Parroting GOP Lies That Hillary Clinton Is Dishonest via @politicususa https://t.co/pmLBEjbezb"	"494"	"282"	"San Antonio"	""	""
"http://twitter.com/4825908905/status/716437895284822016"	""	"0"	"Sun Apr 03 01:31:19 +0000 2016"	"0"	"0"	"en"	"0"	""	""	""	"JanetReynosoPrz"	"Made in The AM  GO DIRECTIONERS GO  #BestFanArmy #Directioners #iHeartAwards"	"225"	"586"	""	""	""
"http://twitter.com/3644754077/status/716437756856176640"	""	"0"	"Sun Apr 03 01:30:46 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/wsfjHNaqDb"	""	""	"JesskaOpal"	"RT @xxxJosef: Love of my life https://t.co/wsfjHNaqDb"	"729"	"1195"	"Dan' South"	""	""
"http://twitter.com/2453292358/status/716437647800070145"	""	"0"	"Sun Apr 03 01:30:20 +0000 2016"	"0"	"0"	"en"	"1"	"https://t.co/X7ph944GXv"	""	""	"XO_abeI"	"Roger Williams University #GoHawks https://t.co/X7ph944GXv"	"890"	"166"	"Connecticut, USA"	"Eastern Time (US & Canada)"	"-14400"
